,Employee_ID,Age,Critical_Job_Role,Risk_of_Loss,Impact_of_Loss,Future_Leader,Gender,Generation,Managerial_Employee,Minority,Organization_Tenure_Months,Salary,Employment_Type,Employment_Type_2,High_Potential,TimeInPrevPositionMonth,Current Functional Area,Current Job Level,Current Career Path,Current Performance Rating,Current Region,Current Country,CurCountryLat,CurCountryLon,Promotion within last 3 years,Changed Position within last 2 years,Change in Performance Rating,FunctionalAreaChangeType,JobLevelChangeType,Flight_Risk,age_binned,tenure_binned,salary_binned,Previous Functional Area,Previous Job Level,Previous Career Path,Previous Performance Rating,PrevCountryLat,PrevCountryLon,Previous Region,Previous Functional Area_new,Previous Job Level_new,Previous Career Path_new,Previous Performance Rating_new,Previous Region_new
18249,13587,32,No,Low,Medium,No,Female,Generation Y,Non-Managerial,Non-Minority,48,50000,Full-Time,Regular,No,5,R&D,3 - Senior,Functional,0 - No performance Measurement,Americas,Canada,61.066692,-107.991707,No,No,0 - Not available,No change,No change,Yes,4,4,3,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
1048,12225,20,Yes,Low,Low,Yes,Male,Generation Y,Non-Managerial,Non-Minority,24,40000,Full-Time,Temporary,No,3,Marketing,2 - Specialist,Functional,3 - Meets Expectations,Americas,Canada,61.066692,-107.991707,No,No,0 - Not available,No change,No change,Yes,1,3,2,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
3028,11589,20,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,15,65000,Full-Time,Temporary,No,2,Support,3 - Senior,Functional,2 - Partially Meets Expectations,APJ,China,35.000074,104.999927,No,No,0 - Not available,External Hire,External Hire,Yes,1,2,4,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18077,13613,32,No,Medium,High,No,Female,Generation Y,Non-Managerial,Non-Minority,96,70000,Full-Time,Regular,No,5,Marketing,5 - Senior Expert / Senior Manager,Functional,0 - No performance Measurement,EMEA,Spain,40.002803,-4.003104,No,No,0 - Not available,No change,No change,Yes,4,5,4,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18044,13331,25,Yes,High,High,Yes,Male,Generation Y,Non-Managerial,Minority,96,50000,Full-Time,Regular,No,5,Marketing,4 - Expert / Manager,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,External Hire,External Hire,Yes,2,5,3,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18268,13131,25,No,Medium,High,No,Female,Generation Y,Non-Managerial,Non-Minority,36,50000,Full-Time,Regular,No,4,Support,3 - Senior,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,No,0 - Not available,External Hire,External Hire,Yes,2,3,3,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18966,16053,43,No,Low,High,No,Female,Generation X,Non-Managerial,Non-Minority,96,70000,Full-Time,Temporary,No,7,Service,3 - Senior,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,Yes,7,5,4,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18444,13704,32,Yes,High,High,Yes,Female,Generation Y,Non-Managerial,Non-Minority,24,40000,Full-Time,Regular,No,5,Support,4 - Expert / Manager,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,Yes,4,3,2,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18026,13680,32,No,Low,Low,No,Male,Generation Y,Non-Managerial,Non-Minority,108,30000,Full-Time,Regular,No,5,Service,4 - Expert / Manager,Functional,4 - Exceeds Expectations,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,External Hire,External Hire,Yes,4,5,2,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18457,12134,27,Yes,High,High,Yes,Male,Generation Y,Non-Managerial,Non-Minority,22,40000,Full-Time,Regular,No,3,Service,2 - Specialist,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,Yes,3,3,2,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
