,Employee_ID,Age,Critical_Job_Role,Risk_of_Loss,Impact_of_Loss,Future_Leader,Gender,Generation,Managerial_Employee,Minority,Organization_Tenure_Months,Salary,Employment_Type,Employment_Type_2,High_Potential,Previous Functional Area,Previous Job Level,Previous Career Path,Previous Performance Rating,Previous Country,PrevCountryLat,PrevCountryLon,Previous Region,TimeInPrevPositionMonth,Current Functional Area,Current Job Level,Current Career Path,Current Performance Rating,Current Region,Current Country,CurCountryLat,CurCountryLon,Promotion within last 3 years,Changed Position within last 2 years,Change in Performance Rating,FunctionalAreaChangeType,JobLevelChangeType,Flight_Risk
0,10032,26,Yes,High,High,Yes,Female,Generation Y,Non-Managerial,Non-Minority,24,40000,Full-Time,Regular,No,,,,,,,,,4,Service,4 - Expert / Manager,Project / Management,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
1,10033,46,Yes,Low,High,Yes,Female,Generation X,Non-Managerial,Non-Minority,48,85000,Full-Time,Regular,No,,,,,,,,,4,Support,2 - Specialist,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,No
2,10034,26,Yes,Medium,High,Yes,Female,Generation Y,Non-Managerial,Non-Minority,11,50000,Full-Time,Regular,No,,,,,,,,,4,Sales,3 - Senior,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,External Hire,External Hire,No
3,10035,26,Yes,High,High,Yes,Male,Generation Y,Non-Managerial,Non-Minority,22,40000,Full-Time,Regular,No,,,,,,,,,4,Service,1 - Associate,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
4,10038,26,Yes,Unallocated,Unallocated,Yes,Female,Generation Y,Non-Managerial,Non-Minority,34,30000,Part-Time,Regular,No,,,,,,,,,4,Service,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
5,10039,26,Yes,Low,Low,Yes,Male,Generation Y,Non-Managerial,Non-Minority,15,40000,Full-Time,Regular,Yes,,,,,,,,,4,R&D,2 - Specialist,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
6,10040,26,No,Low,Medium,No,Female,Generation Y,Non-Managerial,Non-Minority,34,40000,Full-Time,Regular,No,,,,,,,,,4,Sales,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,Canada,61.066692,-107.991707,No,No,0 - Not available,No change,No change,No
7,10041,26,No,Low,Medium,No,Male,Generation Y,Non-Managerial,Non-Minority,36,40000,Full-Time,Regular,No,,,,,,,,,4,Service,3 - Senior,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
8,10042,26,Yes,Low,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,20,40000,Full-Time,Regular,No,,,,,,,,,4,Sales,3 - Senior,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
9,10043,26,Yes,High,High,Yes,Male,Generation Y,Non-Managerial,Non-Minority,5,50000,Full-Time,Regular,No,,,,,,,,,4,Sales,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,Canada,61.066692,-107.991707,No,No,0 - Not available,No change,No change,No
