,Employee_ID,Age,Critical_Job_Role,Risk_of_Loss,Impact_of_Loss,Future_Leader,Gender,Generation,Managerial_Employee,Minority,Organization_Tenure_Months,Salary,Employment_Type,Employment_Type_2,High_Potential,TimeInPrevPositionMonth,Current Functional Area,Current Job Level,Current Career Path,Current Performance Rating,Current Region,Current Country,CurCountryLat,CurCountryLon,Promotion within last 3 years,Changed Position within last 2 years,Change in Performance Rating,FunctionalAreaChangeType,JobLevelChangeType,Flight_Risk,age_binned,tenure_binned,salary_binned,Previous Functional Area,Previous Job Level,Previous Career Path,Previous Performance Rating,Previous Country,PrevCountryLat,PrevCountryLon,Previous Region,Previous Functional Area_new,Previous Job Level_new,Previous Career Path_new,Previous Performance Rating_new,Previous Country_new
177,29137,18,No,Medium,Medium,No,Male,Generation Z,Non-Managerial,Non-Minority,2,30000,Full-Time,Temporary,No,0,Sales,4 - Expert / Manager,Project / Management,4 - Exceeds Expectations,EMEA,Germany,51.083420000000004,10.423447,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,2,Support,4 - Expert / Manager,Project / Management,5 - Consistently Exceeds Expectations,Germany,51.083420000000004,10.423447,EMEA,5,3,2,4,17
178,29138,18,No,Medium,Medium,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,30000,Full-Time,Temporary,No,0,Sales,4 - Expert / Manager,Functional,1 - Does Not Meet Expectations,EMEA,Germany,51.083420000000004,10.423447,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,2,Support,4 - Expert / Manager,Functional,4 - Exceeds Expectations,Italy,42.638426,12.674297,EMEA,5,3,1,3,24
179,28107,18,No,Medium,Medium,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,30000,Full-Time,Temporary,No,0,Marketing,4 - Expert / Manager,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,2,Sales,4 - Expert / Manager,Project / Management,5 - Consistently Exceeds Expectations,USA,39.78373,-100.445882,Americas,3,3,2,4,54
180,18819,21,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,30000,Full-Time,Temporary,No,52,Service,4 - Expert / Manager,Functional,4 - Exceeds Expectations,EMEA,Netherlands,52.237989,5.534607,No,No,3 - Decreasing,Intra-Functional Move,Same Level,Yes,1,1,2,Service,4 - Expert / Manager,Project / Management,5 - Consistently Exceeds Expectations,Netherlands,52.237989,5.534607,EMEA,4,3,2,4,29
181,18963,21,Yes,Unallocated,Unallocated,Yes,Female,Generation Y,Non-Managerial,Non-Minority,2,30000,Full-Time,Temporary,No,52,R&D,4 - Expert / Manager,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Intra-Functional Move,Same Level,Yes,1,1,2,R&D,4 - Expert / Manager,Functional,3 - Meets Expectations,India,22.351115,78.667743,APJ,2,3,1,2,20
182,22086,22,No,Low,Low,No,Male,Generation Y,Non-Managerial,Non-Minority,5,30000,Full-Time,Temporary,No,33,R&D,4 - Expert / Manager,Project / Management,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,No,3 - Decreasing,Intra-Functional Move,Same Level,Yes,1,1,2,R&D,4 - Expert / Manager,Functional,4 - Exceeds Expectations,India,22.351115,78.667743,APJ,2,3,1,3,20
183,22944,23,Yes,High,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,2,30000,Full-Time,Temporary,Yes,26,R&D,3 - Senior,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Intra-Functional Move,Same Level,Yes,2,1,2,R&D,3 - Senior,Functional,3 - Meets Expectations,India,22.351115,78.667743,APJ,2,2,1,2,20
184,23730,23,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,30000,Full-Time,Temporary,No,18,R&D,4 - Expert / Manager,Functional,4 - Exceeds Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Intra-Functional Move,Same Level,Yes,2,1,2,R&D,4 - Expert / Manager,Project / Management,4 - Exceeds Expectations,India,22.351115,78.667743,APJ,2,3,2,3,20
185,23991,23,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,30000,Full-Time,Temporary,No,18,Sales,3 - Senior,Functional,4 - Exceeds Expectations,EMEA,UK,54.702355000000004,-3.276575,No,Yes,1 - Increasing,Intra-Functional Move,Same Level,Yes,2,1,2,Sales,3 - Senior,Functional,3 - Meets Expectations,UK,54.702355000000004,-3.276575,EMEA,3,2,1,2,53
186,12534,20,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,30000,Full-Time,Temporary,No,3,R&D,3 - Senior,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,Yes,1,1,2,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,16
